File,Sentence,Drug,ADE,Gold,Predicted,Kết luận,Giải thích
ARTHROTEC.7,"started having a severe sudden onset headache in the back of head, resulted in trip to doctor, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine.",clonidine,pulse was high,Yes,Yes,Đúng,Model dự đoán đúng quan hệ Drug-ADE
ARTHROTEC.7,"started having a severe sudden onset headache in the back of head, resulted in trip to doctor, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine.",clonidine,severe sudden onset headache in the back of head,Yes,Yes,Đúng,Model dự đoán đúng quan hệ Drug-ADE
ARTHROTEC.7,"started having a severe sudden onset headache in the back of head, resulted in trip to doctor, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine.",clonidine,pulse is still extremely high,Yes,Yes,Đúng,Model dự đoán đúng quan hệ Drug-ADE
ARTHROTEC.4,"i have horrific cramps to begin with, so i can't say whether arthrotec increased that.",arthrotec,horrific cramps,Yes,Yes,Đúng,Model dự đoán đúng quan hệ Drug-ADE
ARTHROTEC.7,"started having a severe sudden onset headache in the back of head, resulted in trip to doctor, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine.",clonidine,bp was extrememly high,Yes,Yes,Đúng,Model dự đoán đúng quan hệ Drug-ADE
LIPITOR.327,"after a couple of years i began to experience balance problems and joint pain, but the doctor did not think that lipitor was causing the problems.",lipitor,joint pain,No,Yes,Sai (FP),Model nhầm lẫn do Drug và ADE cùng xuất hiện nhưng không có quan hệ nhân quả rõ ràng hoặc ngữ cảnh gây nhiễu
LIPITOR.39,"muscle pain, fatigue, swollen tongue. was on simvastatin for 1 year with slight decrease in ratio, then inergy with increasing skin itchiness after 8 weeks, then lipitor for 24 days.",inergy,fatigue,No,Yes,Sai (FP),Model nhầm lẫn do Drug và ADE cùng xuất hiện nhưng không có quan hệ nhân quả rõ ràng hoặc ngữ cảnh gây nhiễu
LIPITOR.976,muscles on the sides of my back were constantly painful i could not sleep even with ambien and melatonin.,ambien,muscles on the sides of my back were constantly painful,No,Yes,Sai (FP),Model nhầm lẫn do Drug và ADE cùng xuất hiện nhưng không có quan hệ nhân quả rõ ràng hoặc ngữ cảnh gây nhiễu
LIPITOR.422,"after taking lipitor 20mg for 3 years the side effects for the last few months are feeling tired all the time, sore weak muscles in left arm and leg, short term memory loss, less patience, loose temper faster, hair loss, comments from friends that i have aged a lot in the last 2 years.",lipitor 20mg,short term memory loss,No,Yes,Sai (FP),Model nhầm lẫn do Drug và ADE cùng xuất hiện nhưng không có quan hệ nhân quả rõ ràng hoặc ngữ cảnh gây nhiễu
ARTHROTEC.76,"am trying to wean off it with glucoasamine chondroitin and msm, which are supposed to be good for arthritis, bone enhancement elasticity etc taking all at same time now,pain is too great!",msm,pain,No,Yes,Sai (FP),Model nhầm lẫn do Drug và ADE cùng xuất hiện nhưng không có quan hệ nhân quả rõ ràng hoặc ngữ cảnh gây nhiễu
ARTHROTEC.6,,tylenol,abdominal cramps,Yes,No,Sai (FN),"Model bỏ sót do biểu đạt ADE đa dạng, không khớp từ điển hoặc câu có cấu trúc phức tạp"
ARTHROTEC.3,,arthrotec,constipation,Yes,No,Sai (FN),"Model bỏ sót do biểu đạt ADE đa dạng, không khớp từ điển hoặc câu có cấu trúc phức tạp"
ARTHROTEC.2,,arthrotec,sharp unbearable cramping pains in lower gut,Yes,No,Sai (FN),"Model bỏ sót do biểu đạt ADE đa dạng, không khớp từ điển hoặc câu có cấu trúc phức tạp"
ARTHROTEC.6,,arthrotec,slight nausea,Yes,No,Sai (FN),"Model bỏ sót do biểu đạt ADE đa dạng, không khớp từ điển hoặc câu có cấu trúc phức tạp"
ARTHROTEC.3,,arthrotec,extreme itching on legs and arms,Yes,No,Sai (FN),"Model bỏ sót do biểu đạt ADE đa dạng, không khớp từ điển hoặc câu có cấu trúc phức tạp"
