file,sentence_id,before_preprocess,after_preprocess,tokens
ARTHROTEC.1.txt,1,"I feel a bit drowsy & have a little blurred vision, so far no gastric problems.","i feel a bit drowsy and have a little blurred vision, so far no gastric problems.","['i', 'feel', 'a', 'bit', 'drowsy', 'and', 'have', 'a', 'little', 'blurred', 'vision', ',', 'so', 'far', 'no', 'gastric', 'problems', '.']"
ARTHROTEC.1.txt,2,"I've been on Arthrotec 50 for over 10 years on and off, only taking it when I needed it.","i've been on arthrotec 50 for over 10 years on and off, only taking it when i needed it.","['i', ""'ve"", 'been', 'on', 'arthrotec', '50', 'for', 'over', '10', 'years', 'on', 'and', 'off', ',', 'only', 'taking', 'it', 'when', 'i', 'needed', 'it', '.']"
ARTHROTEC.1.txt,3,"Due to my arthritis getting progressively worse, to the point where I am in tears with the agony, gp's started me on 75 twice a day","due to my arthritis getting progressively worse, to the point where i am in tears with the agony, doctor started me on 75 twice a day","['due', 'to', 'my', 'arthritis', 'getting', 'progressively', 'worse', ',', 'to', 'the', 'point', 'where', 'i', 'am', 'in', 'tears', 'with', 'the', 'agony', ',', 'doctor', 'started', 'me', 'on', '75', 'twice', 'a', 'day']"
ARTHROTEC.1.txt,4,and I have to take it.,and i have to take it.,"['and', 'i', 'have', 'to', 'take', 'it', '.']"
ARTHROTEC.1.txt,5,"every day for the next month to see how I get on, here goes.","every day for the next month to see how i get on, here goes.","['every', 'day', 'for', 'the', 'next', 'month', 'to', 'see', 'how', 'i', 'get', 'on', ',', 'here', 'goes', '.']"
ARTHROTEC.1.txt,6,"So far its been very good, pains almost gone, but I feel a bit weird, didn't have that when on 50.","so far its been very good, pains almost gone, but i feel a bit weird, didn't have that when on 50.","['so', 'far', 'its', 'been', 'very', 'good', ',', 'pains', 'almost', 'gone', ',', 'but', 'i', 'feel', 'a', 'bit', 'weird', ',', 'did', ""n't"", 'have', 'that', 'when', 'on', '50', '.']"
ARTHROTEC.10.txt,1,Hunger pangs.,hunger pangs.,"['hunger', 'pangs', '.']"
ARTHROTEC.10.txt,2,"Brilliant, I have a new lease of life, i walk up & down steps properly, no longer sideways like a toddler, hip pain as gone other than if i jar it.","brilliant, i have a new lease of life, i walk up and down steps properly, no longer sideways like a toddler, hip pain as gone other than if i jar it.","['brilliant', ',', 'i', 'have', 'a', 'new', 'lease', 'of', 'life', ',', 'i', 'walk', 'up', 'and', 'down', 'steps', 'properly', ',', 'no', 'longer', 'sideways', 'like', 'a', 'toddler', ',', 'hip', 'pain', 'as', 'gone', 'other', 'than', 'if', 'i', 'jar', 'it', '.']"
ARTHROTEC.100.txt,1,no side effects for the first two months .,no side effects for the first two months .,"['no', 'side', 'effects', 'for', 'the', 'first', 'two', 'months', '.']"
ARTHROTEC.100.txt,2,then vaginal bleeding 2,then vaginal bleeding 2,"['then', 'vaginal', 'bleeding', '2']"
ARTHROTEC.100.txt,3,"wks after menstral cycle.
stomach pain.",wks after menstral cycle. stomach pain.,"['wks', 'after', 'menstral', 'cycle', '.', 'stomach', 'pain', '.']"
ARTHROTEC.100.txt,4,"canker sores in my mouth.
headache.
been off for 1 week still have bleeding.",canker sores in my mouth. headache. been off for 1 week still have bleeding.,"['canker', 'sores', 'in', 'my', 'mouth', '.', 'headache', '.', 'been', 'off', 'for', '1', 'week', 'still', 'have', 'bleeding', '.']"
ARTHROTEC.100.txt,5,helped my pain alot .,helped my pain alot .,"['helped', 'my', 'pain', 'alot', '.']"
ARTHROTEC.100.txt,6,too scared to take this drug again.,too scared to take this drug again.,"['too', 'scared', 'to', 'take', 'this', 'drug', 'again', '.']"
ARTHROTEC.101.txt,1,"1st pill taken with food, a few hours after i experienced shortness of breath, a sense of depression, cramping, upset stomache will stop taking immediately.","1st pill taken with food, a few hours after i experienced shortness of breath, a sense of depression, cramping, upset stomache will stop taking immediately.","['1st', 'pill', 'taken', 'with', 'food', ',', 'a', 'few', 'hours', 'after', 'i', 'experienced', 'shortness', 'of', 'breath', ',', 'a', 'sense', 'of', 'depression', ',', 'cramping', ',', 'upset', 'stomache', 'will', 'stop', 'taking', 'immediately', '.']"
ARTHROTEC.101.txt,2,"Honestly can not recommend this drug, I am still experiencing side effects just after 1 pill","honestly can not recommend this drug, i am still experiencing side effects just after 1 pill","['honestly', 'can', 'not', 'recommend', 'this', 'drug', ',', 'i', 'am', 'still', 'experiencing', 'side', 'effects', 'just', 'after', '1', 'pill']"
ARTHROTEC.101.txt,3,and im supposed to take twice/day 75mg.,and im supposed to take twice day 75mg.,"['and', 'i', 'm', 'supposed', 'to', 'take', 'twice', 'day', '75', 'mg', '.']"
ARTHROTEC.101.txt,4,I just cant keep going have to try something else.,i just cant keep going have to try something else.,"['i', 'just', 'ca', 'nt', 'keep', 'going', 'have', 'to', 'try', 'something', 'else', '.']"
ARTHROTEC.102.txt,1,"I have had no side effects been taking Arthrotec a little over a year, have not noticed any side effects.","i have had no side effects been taking arthrotec a little over a year, have not noticed any side effects.","['i', 'have', 'had', 'no', 'side', 'effects', 'been', 'taking', 'arthrotec', 'a', 'little', 'over', 'a', 'year', ',', 'have', 'not', 'noticed', 'any', 'side', 'effects', '.']"
ARTHROTEC.102.txt,2,It does help alot I noticed that when there are times when I forget to take it I can't stand or walk for any lengths of time.,it does help alot i noticed that when there are times when i forget to take it i can't stand or walk for any lengths of time.,"['it', 'does', 'help', 'alot', 'i', 'noticed', 'that', 'when', 'there', 'are', 'times', 'when', 'i', 'forget', 'to', 'take', 'it', 'i', 'ca', ""n't"", 'stand', 'or', 'walk', 'for', 'any', 'lengths', 'of', 'time', '.']"
ARTHROTEC.103.txt,1,"It seems as if bleeding forever is a side effect but doctors tell you that its not the drug
I have been on Arthotec for Three months I still have pain and stiffness
at first week into this drug I was in so much pain I sat on the floor at work and thought I was gaving a baby.",it seems as if bleeding forever is a side effect but doctors tell you that its not the drug i have been on arthotec for three months i still have pain and stiffness at first week into this drug i was in so much pain i sat on the floor at work and thought i was gaving a baby.,"['it', 'seems', 'as', 'if', 'bleeding', 'forever', 'is', 'a', 'side', 'effect', 'but', 'doctors', 'tell', 'you', 'that', 'its', 'not', 'the', 'drug', 'i', 'have', 'been', 'on', 'arthotec', 'for', 'three', 'months', 'i', 'still', 'have', 'pain', 'and', 'stiffness', 'at', 'first', 'week', 'into', 'this', 'drug', 'i', 'was', 'in', 'so', 'much', 'pain', 'i', 'sat', 'on', 'the', 'floor', 'at', 'work', 'and', 'thought', 'i', 'was', 'gaving', 'a', 'baby', '.']"
ARTHROTEC.103.txt,2,I always feel weak and almost fainted a bunch of times.,i always feel weak and almost fainted a bunch of times.,"['i', 'always', 'feel', 'weak', 'and', 'almost', 'fainted', 'a', 'bunch', 'of', 'times', '.']"
ARTHROTEC.103.txt,3,Consider somthing that works I am switching today as this isnt in my head.,consider somthing that works i am switching today as this isnt in my head.,"['consider', 'somthing', 'that', 'works', 'i', 'am', 'switching', 'today', 'as', 'this', 'is', 'nt', 'in', 'my', 'head', '.']"
ARTHROTEC.104.txt,1,"some diarrhea, some constipation, fatigue.","some diarrhea, some constipation, fatigue.","['some', 'diarrhea', ',', 'some', 'constipation', ',', 'fatigue', '.']"
ARTHROTEC.104.txt,2,it works very well for the heel; I couldn't walk on it very well before taking it.,it works very well for the heel i couldn't walk on it very well before taking it.,"['it', 'works', 'very', 'well', 'for', 'the', 'heel', 'i', 'could', ""n't"", 'walk', 'on', 'it', 'very', 'well', 'before', 'taking', 'it', '.']"
ARTHROTEC.104.txt,3,I take 75mg.twice a day.,i take 75mg.twice a day.,"['i', 'take', '75mg.twice', 'a', 'day', '.']"
ARTHROTEC.104.txt,4,"Also have severe osteoarthritis in the knees and hands, but it doesn't seem to relieve that pain at all.","also have severe osteoarthritis in the knees and hands, but it doesn't seem to relieve that pain at all.","['also', 'have', 'severe', 'osteoarthritis', 'in', 'the', 'knees', 'and', 'hands', ',', 'but', 'it', 'does', ""n't"", 'seem', 'to', 'relieve', 'that', 'pain', 'at', 'all', '.']"
ARTHROTEC.105.txt,1,"I've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.","i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.","['i', ""'ve"", 'been', 'on', '75', 'mg', 'twice', 'daily', 'for', '13', 'days', ',', 'with', 'recent', 'body', 'swelling', ',', 'face', ',', 'wrists', ',', 'abdomen', ',', 'thighs', '-', 'clothes', 'fit', 'tight', '.']"
ARTHROTEC.105.txt,2,Insomina is much worse.,insomina is much worse.,"['insomina', 'is', 'much', 'worse', '.']"
ARTHROTEC.105.txt,3,I have forgetfulnes and confussion - really bad - almost dangerous.,i have forgetfulnes and confussion - really bad - almost dangerous.,"['i', 'have', 'forgetfulnes', 'and', 'confussion', '-', 'really', 'bad', '-', 'almost', 'dangerous', '.']"
ARTHROTEC.105.txt,4,"Have felt ""empty stomach"" feeling, but not bothersome.","have felt empty stomach feeling, but not bothersome.","['have', 'felt', 'empty', 'stomach', 'feeling', ',', 'but', 'not', 'bothersome', '.']"
ARTHROTEC.105.txt,5,"Have had more loose stools, but tolerable.","have had more loose stools, but tolerable.","['have', 'had', 'more', 'loose', 'stools', ',', 'but', 'tolerable', '.']"
ARTHROTEC.105.txt,6,"I'm looking for a more natural therapy, checking into HA (Hyaluronic Acid) to replace Arthrotec.","i'm looking for a more natural therapy, checking into ha hyaluronic acid to replace arthrotec.","['i', ""'m"", 'looking', 'for', 'a', 'more', 'natural', 'therapy', ',', 'checking', 'into', 'ha', 'hyaluronic', 'acid', 'to', 'replace', 'arthrotec', '.']"
ARTHROTEC.106.txt,1,none that I can think of.,none that i can think of.,"['none', 'that', 'i', 'can', 'think', 'of', '.']"
ARTHROTEC.106.txt,2,I recently had bilateral knee replacement.,i recently had bilateral knee replacement.,"['i', 'recently', 'had', 'bilateral', 'knee', 'replacement', '.']"
ARTHROTEC.106.txt,3,"Prior to that, Arthrotec was the only drug that helped.","prior to that, arthrotec was the only drug that helped.","['prior', 'to', 'that', ',', 'arthrotec', 'was', 'the', 'only', 'drug', 'that', 'helped', '.']"
ARTHROTEC.106.txt,4,"I tried every drug on the market,but, to no avail.","i tried every drug on the market,but, to no avail.","['i', 'tried', 'every', 'drug', 'on', 'the', 'market', ',', 'but', ',', 'to', 'no', 'avail', '.']"
ARTHROTEC.106.txt,5,I took 50 mg. 3 times a day of Arthrotec and was almost pain free.,i took 50 milligrams. 3 times a day of arthrotec and was almost pain free.,"['i', 'took', '50', 'milligrams', '.', '3', 'times', 'a', 'day', 'of', 'arthrotec', 'and', 'was', 'almost', 'pain', 'free', '.']"
